Boy   0d   7d  14d   1m   2m   3m   4m   5m   6m   12m   18m  24m  30m
  0 2.68 3.06 3.01 3.74 4.79 5.35 5.96 6.47 6.99  8.83 10.30 11.4 12.4
  0 2.97 3.46 3.57 3.93 4.77 5.67 6.07 6.69 7.11  9.23 10.40 11.6 12.5
  1 3.53 3.88 4.02 4.71 5.80 6.56 7.23 7.54 8.22 10.30 11.60 12.7 13.8
  1 2.54 2.65 3.24 3.77 4.62 5.50 6.06 7.03 7.55  9.51 10.80 12.0 12.8
  0 2.91 3.20 3.35 4.17 4.67 5.55 6.17 6.74 6.87  9.09 10.50 11.6 12.7
  0 3.24 3.28 3.72 4.14 5.06 5.87 6.38 7.16 7.54  9.61 10.70 11.8 12.7
  0 2.55 3.09 3.33 3.70 4.55 5.23 5.97 6.43 6.95  8.91 10.30 11.1 12.4
  0 3.26 3.49 3.73 4.03 5.05 5.86 6.46 6.91 7.33  9.30 10.90 11.5 12.9
  1 3.14 3.46 3.77 4.43 5.36 6.20 6.86 7.33 7.85  9.89 11.30 12.3 13.3
  1 3.21 3.45 3.69 4.33 5.51 6.18 6.80 7.56 8.11 10.10 11.20 12.5 13.3
  0 3.17 3.52 3.44 4.18 4.86 5.62 6.14 6.91 7.25  9.30 10.70 11.7 12.7
  1 3.04 3.29 3.50 4.12 5.10 5.89 6.63 7.16 7.79  9.85 11.30 12.0 13.4
  1 3.34 3.70 3.93 4.75 5.73 6.37 7.11 7.58 8.34 10.30 11.60 12.8 13.8
  1 2.82 3.29 3.57 4.12 5.08 5.92 6.48 6.91 7.66  9.58 11.10 11.9 13.1
  0 2.75 3.01 3.44 3.85 4.65 5.30 6.11 6.67 6.99  9.15 10.30 11.4 12.3
  0 2.61 2.76 3.09 3.69 4.58 5.04 5.85 6.25 6.76  8.76 10.00 11.3 12.1
  0 2.78 3.14 3.57 4.04 4.86 5.51 6.22 6.73 7.02  9.12 10.50 11.7 12.6
  0 2.62 3.00 3.17 3.61 4.57 5.42 5.99 6.58 7.18  8.90  9.92 11.3 12.6
  0 2.81 3.20 3.32 3.94 4.76 5.42 5.87 6.55 7.20  9.04 10.40 11.3 12.4
  1 3.00 3.30 3.53 4.45 5.26 6.27 7.01 7.29 7.97  9.88 11.40 12.4 13.5
  0 2.66 2.80 2.91 3.31 4.47 5.19 5.63 6.24 6.51  8.67 10.00 11.2 12.2
  0 2.69 2.94 3.20 3.56 4.66 5.20 6.02 6.45 7.00  8.82 10.20 11.3 12.2
  0 3.02 3.12 3.63 4.03 4.92 5.63 6.42 6.81 7.43  9.35 10.60 11.6 12.7
  0 2.95 3.25 3.42 4.02 4.92 5.60 6.20 6.79 7.29  9.40 10.60 11.4 12.4
  0 3.00 2.87 3.35 3.76 4.57 5.11 5.98 6.80 6.91  8.71 10.40 11.3 12.5
  1 3.05 3.52 3.83 4.41 5.37 6.21 6.88 7.49 8.10 10.10 11.40 12.5 13.2
  0 2.90 3.22 3.36 3.86 4.80 5.74 6.20 6.72 7.10  9.12 10.60 11.5 12.4
  1 2.59 2.91 3.36 3.87 4.66 5.54 6.24 6.83 7.41  9.38 11.00 12.0 12.9
  1 3.43 3.61 3.86 4.51 5.60 6.33 7.06 7.89 8.20 10.60 11.50 12.7 13.7
  1 2.93 3.36 3.80 4.12 5.15 6.24 6.68 7.22 7.83 10.00 11.30 12.2 13.4
  1 2.98 3.23 3.60 4.13 5.24 5.91 6.67 7.35 7.71  9.97 11.10 12.3 13.2
  0 2.35 2.59 2.87 3.50 4.26 5.02 5.50 6.16 6.68  8.40  9.90 10.7 11.8
